OID_;total_area;roman_5km_buffer_area;modern_5km_buffer_area;roman_buffer_area_percentage;modern_buffer_area_percentage;mean_elevation;mean_tpi_5km;road_length;road_density;site_count;site_density;modern_population
106;10588,4003906;2697,3200684;2245,8601074;25,474292327899999;21,210570289800000;385,5209961;-0,3664610;294745,029263000003994;27,836596500799999;4;0,000377771887389;14148,0000000
107;10588,4003906;2420,4599609;2418,4599609;22,859543194800001;22,840654600499999;204,5229950;0,0604688;258690,499692999990657;24,431499579699999;14;0,001322201605860;7085,0000000
108;10068,2998047;3607,5100098;3222,4599609;35,830379306799998;32,005999259500001;89,0910034;0,0352483;448602,647430000011809;44,555948485099997;12;0,001191859622060;22766,0000000
109;7619,0297852;2278,3500977;1447,5100098;29,903415026600001;18,998613348199999;101,6529999;-0,1362690;319411,530504000023939;41,922861507400000;22;0,002887506758780;136925,0000000
110;5468,0200195;941,4439697;814,4660034;17,217273644999999;14,895080861200000;102,4720001;-0,1472440;138569,371806999988621;25,341782091500001;12;0,002194578651350;14279,0000000
111;1141,0899658;834,9180298;553,8400269;73,168466535799993;48,536052672899999;63,3288002;-1,0044800;130433,868086999995285;114,306384241000003;3;0,002629065270800;12168,0000000
112;367,3529968;232,8049927;54,4864998;63,373647333000001;14,832191449900000;3,3378401;0,1929540;43310,878615900001023;117,899891902999997;3;0,008166531989450;1789,0000000
113;9831,6699219;2685,9699707;4499,7900391;27,319570246400001;45,768318859600001;55,4347992;-0,0193264;319437,555506000004243;32,490671274000000;6;0,000610272725557;124699,0000000
114;10588,4003906;0,0034638;1660,3100586;0,000032712778990;15,680461612200000;96,1285019;-0,0324872;0,000000000000000;0,000000000000000;0;0,000000000000000;263,0000000
115;10588,4003906;0,0000000;808,2119751;0,000000000000000;7,632994081080000;119,3639984;0,0083332;0,000000000000000;0,000000000000000;0;0,000000000000000;88,0000000
116;10588,4003906;1,4960099;1,6686300;0,014128762520100;0,015759037648500;126,0410004;-0,0312432;0,000000000000000;0,000000000000000;0;0,000000000000000;231,0000000
117;10588,4003906;2356,6899414;1218,9899902;22,257280178900000;11,512503733000001;175,7530060;0,0073642;239935,618229999992764;22,660232837700001;1;0,000094442971847;166,0000000
118;10588,4003906;1461,1300049;334,1159973;13,799345991599999;3,155490772810000;184,3040009;0,1062930;152208,500483999989228;14,375023126100000;0;0,000000000000000;10351,0000000
119;10424,2998047;2466,2500000;1606,0300293;23,658663375100002;15,406598614700000;182,7709961;-0,0282468;267037,495273999986239;25,616828015100001;3;0,000287789113534;34052,0000000
120;8026,2402344;2012,4200439;1194,3000488;25,073010340800000;14,879943958200000;166,6139984;-0,1300820;259245,465838000003714;32,299739139099998;10;0,001245913367650;181434,0000000
121;5531,5400391;1275,0500488;1924,0600586;23,050543606700000;34,783442676100002;87,1791992;-0,4315660;190815,757523999986006;34,495955227000003;3;0,000542344442744;91957,0000000
122;5138,7700195;2155,1398926;2413,0900879;41,938827470100001;46,958514950400001;48,3465996;-0,0751743;311507,067860000010114;60,618993781800000;9;0,001751391863380;4936440,0000000
123;9758,4599609;2332,0100098;5432,7998047;23,897315960699999;55,672717072499999;6,7269402;0,0051690;256101,008587999996962;26,243998501099998;34;0,003484156325500;13388000,0000000
124;10422,5996094;2719,3999023;5691,7998047;26,091378391799999;54,610174217599997;5,5275898;-0,0177293;297406,531505000020843;28,534774686900001;29;0,002782415240620;20824500,0000000
125;7085,5800781;3385,8200684;3569,9399414;47,784656034199998;50,383171201899998;42,0439987;-0,1204090;367001,697507000004407;51,795575444800001;12;0,001693580464510;2437380,0000000
126;6674,3100586;2566,0500488;2160,0700684;38,446671285900003;32,363945477500003;169,4600067;-0,2241760;361011,059949000016786;54,089644739299999;4;0,000599312882513;256184,0000000
127;9841,0703125;5898,3798828;5365,0200195;59,936365613800000;54,516631313100000;307,9270020;0,0617813;751964,907405999954790;76,410886573100001;24;0,002438759122520;1806850,0000000
128;10588,4003906;6836,8300781;4714,7099609;64,569055059299998;44,527122010900001;467,8320007;-0,1740320;976696,989290000055917;92,242166262900000;61;0,005761021282690;786511,0000000
129;10588,4003906;87,7605972;1670,6700439;0,828837161340000;15,778304392600001;842,2949829;-0,0887271;1231,778001820000100;0,116332775148000;0;0,000000000000000;21687,0000000
130;10477,9003906;854,3790283;0,0000000;8,154105273660001;0,000000000000000;160,9929962;-0,0013597;81594,165942899999209;7,787262991730000;0;0,000000000000000;296628,0000000
131;10477,9003906;2396,7700195;3258,7900391;22,874525717699999;31,101555822900000;377,7699890;0,1265500;266373,598648999992292;25,422421355299999;4;0,000381755871966;43207,0000000
132;10477,9003906;2887,7800293;4032,3200684;27,560674578299999;38,484046593599999;340,0050049;0,0216248;307509,563102999993134;29,348395350099999;2;0,000190877935983;82026,0000000
133;10477,9003906;2287,2900391;4581,9399414;21,829660082600000;43,729561940700002;443,1499939;0,1050220;259802,768637000001036;24,795308120100000;8;0,000763511743933;224685,0000000
134;10477,9003906;2837,0900879;3278,0900879;27,076895008699999;31,285753497200002;450,3880005;0,3837520;317229,380374000000302;30,276044679500000;14;0,001336145551880;288909,0000000
135;10255,9003906;3484,4199219;4157,4501953;33,974783189800000;40,537154583800003;118,4479980;-0,0906420;396260,039731999975629;38,637274606699997;19;0,001852592095900;394831,0000000
136;3715,8100586;1486,3599854;1182,0200195;40,000967808200002;31,810560843899999;10,4483995;-0,1961620;192077,693839000014123;51,692010842899997;5;0,001345601610730;426299,0000000
137;9427,9003906;4817,0898438;4532,7202148;51,093983221800002;48,077727033999999;213,8320007;0,2324450;638683,648005999973975;67,743996175600003;21;0,002227431255090;963757,0000000
138;10477,9003906;1267,5400391;2614,1000977;12,097271321599999;24,948701554700001;263,0429993;-0,1540740;102251,111460000000079;9,758740553739999;3;0,000286316903975;29881,0000000
139;10477,9003906;1793,7800293;3084,6599121;17,119651480000002;29,439675861700000;193,6300049;-0,0373015;192387,592265999992378;18,361273260299999;2;0,000190877935983;8293,0000000
140;7536,2597656;1913,5600586;3108,7900391;25,391376068600000;41,251099826000001;152,9140015;-0,1771940;244251,403981000010390;32,410162544400002;9;0,001194226350990;141614,0000000
141;5254,6499023;2135,7099609;1125,0300293;40,644191347300001;21,410180510699998;160,1170044;-0,2480420;225614,052931000012904;42,936077022100001;5;0,000951538179122;46999,0000000
142;986,6160278;601,9990234;755,6279907;61,016546098500001;76,587848707800006;95,1211014;-2,9666800;87217,268428800001857;88,400417151599996;4;0,004054262131530;62610,0000000
143;273,8510132;247,7720032;240,0729980;90,476934992300002;87,665550423200003;30,4687996;-3,7477100;50044,653647599996475;182,744087984000004;1;0,003651620596090;4275,0000000
