OID_;province;total_area;roman_5km_buffer_area;modern_5km_buffer_area;roman_buffer_area_percentage;modern_buffer_area_percentage;mean_elevaation;mean_tpi_5km;road_length;road_density;site_count;site_density;modern_population
41;Moesia Superior;56878,919901599998411;28401,5000000;29286,3007812;49,933261829000003;51,488848297300002;551,9160156;-0,0907970;4024084,166220000013709;70,748252132499999;160;0,002812992937920;6458050,0000000
42;Narbonensis;94128,304133500001626;42964,8984375;44571,1015625;45,645036137699996;47,351433740099999;547,5130005;-0,1332470;5987569,761490000411868;63,610725983099996;374;0,003973300097590;13592400,0000000
43;Noricum;61421,820874299999559;25160,9003906;29249,6992188;40,964106945200001;47,621022630699997;890,6550293;0,4486480;3281519,499040000140667;53,425955993000002;82;0,001335030431090;5978960,0000000
44;Numidia;112091,445760000002338;53173,0000000;35794,1015625;47,437161363599998;31,932946640000001;451,9869995;-0,1266240;7593346,510579999536276;67,742426365300005;655;0,005843443231180;10507800,0000000
45;Pannonia Inferior;28572,695599099999527;17896,3007812;17746,5996094;62,634275156800001;62,110344289399997;142,1880035;0,0119054;2400786,649790000170469;84,023806625600002;95;0,003324852556190;3943970,0000000
46;Pannonia Superior;70577,785612399995443;37665,1992188;36729,8984375;53,366932515599999;52,041726895799997;224,5480042;-0,1238390;5046674,014750000089407;71,505133959099993;81;0,001147669897790;7407820,0000000
47;Picenum (Regio V);6421,786344109999845;2727,0000000;4491,8398438;42,464819816099997;69,946890211799996;333,0830078;-0,7812200;426685,675158000027295;66,443455495699993;34;0,005294476984770;1540770,0000000
48;Raetia;82955,284674800001085;33592,8984375;45128,8007812;40,495187942699999;54,401357259100003;1136,2099609;1,0010999;4448551,286530000157654;53,625893804900002;161;0,001940804623010;12252300,0000000
49;Samnium (Regio IV);13298,257890000000771;5564,9501953;7081,8901367;41,847212178800000;53,254269809599997;807,3109741;0,1260960;781550,315600999980234;58,770879769799997;99;0,007444584156730;991744,0000000
50;Sardinia;23817,648281400000997;12725,5000000;13842,4003906;53,428868583700002;58,118250076899997;342,8900146;-0,6108120;1639406,973860000027344;68,831605643499998;72;0,003022968479060;1587540,0000000
51;Sicilia;25438,809198399998422;11768,9003906;17225,5000000;46,263566422600000;67,713468290300000;430,3030090;-1,3246500;1799805,461739999940619;70,750381737699996;226;0,008884063646120;4876030,0000000
52;Syria;126755,936677999998210;59927,6015625;43697,1992188;47,277944633700002;34,473493205899999;620,3389893;-0,2561630;8137391,882840000092983;64,197323581899994;335;0,002642874241470;27053700,0000000
53;Thracia;95539,193677100003697;56043,1992188;44842,1992188;58,659903921900003;46,935919692100001;493,8160095;0,1693510;8765556,488210000097752;91,748277862099997;218;0,002281786056690;16708300,0000000
54;Transpadana (Regio XI);18887,951928900001803;10735,4003906;12802,4003906;56,837291999900003;67,780776014300002;490,6149902;-1,7378600;1462882,693329999921843;77,450572663299994;48;0,002541302528760;9775470,0000000
55;Umbria (Regio VI);12376,746614600000612;3473,5100098;5970,5600586;28,064806672800000;48,240141327200000;495,4700012;0,7868800;415717,053635000018403;33,588556555300002;57;0,004605410595770;1219130,0000000
56;Venetia et Histria (Regio X);54920,460135399996943;28579,1992188;34070,6015625;52,037435863200002;62,036263859599998;586,2689819;-0,0375456;4065243,080620000138879;74,020557558999997;152;0,002767638865830;11005600,0000000
